Model,Rank,ID,WER,WER_Percent,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Reference
whisper-medium,6,8PZx5kgLSqQ,1.2653,126.53%,302,M,SLOW,WEST,64.24,"minus 1 and b L by 2. We know b L by 2 from our knowledge of the data. Therefore, we can compute the integral. Y L by 2 is equal to and compare it with the previously computed value of y L by 2. Now, if the difference"
whisper-medium,7,-2aOCNaOiLs,1.2500,125.00%,222,M,SLOW,SOUTH,4.989,considered in problem 45.
whisper-medium,8,Vpoi5W6a3lo,1.1667,116.67%,166,M,FAST,SOUTH,17.64,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look"
whisper-medium,9,EayOCWaiRkw,1.1364,113.64%,277,M,SLOW,SOUTH,27.8,"Now, that is voltage in C remains constant because it cannot discharge the assuming the bias current is negligible then the voltage"
whisper-medium,10,vlFdVYAXIxg,1.0217,102.17%,125,M,SLOW,EAST,25.89,"X 3 its fine, what about X 4, X 5, X 6, X 7? Now you see, W N Say W 8, N is 8 in our case .W 8, 5 W 8, 4 how much is it? Minus 1? W 8, 5 minus W 9,"
whisper-medium,11,qx86xQ6UKmU,0.9574,95.74%,70,M,FAST,SOUTH,15.29,of the same charge into the solution in a chemically equivalent amount. Once again I will explain. Ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge
whisper-medium,12,kHeysMOk9h4,0.9512,95.12%,82,M,SLOW,NORTH,24.69,"n cross n, n plus 1 column is nothing but the b has been moved to n plus 1, that is You have A matrix and then you have B vector; instead of putting B here I have put B here"
whisper-medium,13,lnD212vbPSk,0.9464,94.64%,70,M,FAST,SOUTH,26.769,We will see the advantages of this sludge draining beds for other dewatering processes. The cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching
whisper-medium,14,RZQTTfU9TNA,0.9348,93.48%,284,M,FAST,SOUTH,29.08,"normally, this is a practical 3 to 8 decoder, I can give you the IC number if you want to this is 74138, it is not necessary to remember numbers. In fact I am not even sure it’s 128 or 138 but I think it’s 138."
whisper-medium,15,qBw8ZQrJeys,0.9111,91.11%,292,M,SLOW,SOUTH,7.01,"that is also saw it as an input may not be a functional requirements this is a dependent in the message, okay. So next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode."
whisper-medium,16,3vVJkvTsbXQ,0.8857,88.57%,88,M,SLOW,NORTH,25.36,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared
whisper-medium,17,U6xmF1EqMEM,0.8810,88.10%,178,M,SLOW,EAST,30.0,should be= probability of ai*probability of aj* probability of ak i j k must != and so on probability of intersection ai i=1 to n must be= the product of all the probabilities basically these are 2 to the power n-n-1 conditions
whisper-medium,18,vlImg6wCr8M,0.8750,87.50%,195,M,AVG,SOUTH,24.56,that is v0 = v01 which v1 x r2/r1 +v02 which is –v2 x r2/r1 so that is r2/r1 x v1-v2. so ultimately what we conclude is this is an amplifier which uses an output = the difference between the 2 v1-v2. if v1 is connected to this + terminal v2 is connected to – terminal
whisper-medium,19,jtMZfLViZu8,0.8169,81.69%,224,M,SLOW,NORTH,37.02,"thetayi, and wi at each of these 4 nodes which have coordinates xi tau, yi tau in this expanded form. How many values we have? We have 12 values; it is a twelfth order, there are terms in this expression. We can write it as, this whole thing wi, w1 thetay1, thetax1, then w2, thetay2, thetax2 up to all the way down to w4, thetay4, thetax4 this is equal to this"
whisper-medium,20,nwcOtus_7eo,0.8095,80.95%,230,M,SLOW,NORTH,13.909,"This is k1 and this is y; that means, k1 y is equal to k2 x minus k2y. Therefore, y is"
